iter	Passed	Remaining
417	2980	941
418	2987	934
419	2994	927
420	3001	919
421	3008	912
422	3015	905
423	3022	898
424	3029	891
425	3037	884
426	3044	876
427	3051	869
428	3057	862
429	3065	855
430	3072	848
431	3079	841
432	3086	833
433	3093	826
434	3100	819
435	3107	812
436	3114	805
437	3121	798
438	3128	791
439	3135	783
440	3142	776
441	3149	769
442	3156	762
443	3163	755
444	3170	748
445	3177	741
446	3185	733
447	3192	726
448	3199	719
449	3206	712
450	3213	705
451	3220	698
452	3227	691
453	3234	684
454	3242	676
455	3249	669
456	3256	662
457	3263	655
458	3270	648
459	3278	641
460	3285	634
461	3292	627
462	3299	620
463	3306	612
464	3313	605
465	3320	598
466	3327	591
467	3334	584
468	3341	577
469	3348	570
470	3355	562
471	3362	555
472	3369	548
473	3377	541
474	3384	534
475	3390	527
476	3397	520
477	3405	512
478	3412	505
479	3419	498
480	3426	491
481	3433	484
482	3440	477
483	3447	470
484	3455	463
485	3462	455
486	3469	448
487	3476	441
488	3483	434
489	3490	427
490	3497	420
491	3504	413
492	3511	406
493	3519	398
494	3527	391
495	3534	384
496	3541	377
497	3548	370
498	3555	363
499	3562	356
500	3569	349
501	3576	341
502	3584	334
503	3591	327
504	3597	320
505	3604	313
506	3611	306
507	3618	299
508	3625	292
509	3632	284
510	3639	277
511	3646	270
512	3653	263
513	3661	256
514	3668	249
515	3675	242
516	3682	235
517	3689	227
518	3696	220
519	3703	213
520	3711	206
521	3718	199
522	3726	192
523	3733	185
524	3739	178
525	3747	171
526	3754	163
527	3761	156
528	3768	149
529	3775	142
530	3782	135
531	3789	128
532	3796	121
533	3803	113
534	3810	106
535	3817	99
536	3824	92
537	3831	85
538	3839	78
539	3845	71
540	3853	64
541	3859	56
542	3866	49
543	3874	42
544	3881	35
545	3887	28
546	3895	21
547	3903	14
548	3911	7
549	3920	0
