iter	Logloss
0	0.4879911026
1	0.412398597
2	0.3884298522
3	0.3736847951
4	0.3669266841
5	0.3569635821
6	0.3536215987
7	0.3523446381
8	0.3499419004
9	0.3483420907
10	0.3438319656
11	0.3420521574
12	0.340272174
13	0.3397418464
14	0.336947768
15	0.3363337872
16	0.3361948005
17	0.3359851098
18	0.335579775
19	0.3346564911
20	0.3331361648
21	0.3289973711
22	0.3285139702
23	0.3279218694
24	0.3277700175
25	0.3267185101
26	0.3263297557
27	0.3259427261
28	0.3255066286
29	0.3224172466
30	0.3219978768
31	0.3212562641
32	0.3205431272
33	0.3205197413
34	0.320306772
35	0.3201310931
36	0.3196733311
37	0.3188981029
38	0.3178907175
39	0.3174114622
40	0.3170187056
41	0.3163265046
42	0.3161064917
43	0.3159344258
44	0.3155115166
45	0.3148347672
46	0.3146170083
47	0.3143541347
48	0.3137744191
49	0.3109215975
50	0.3106211197
51	0.3103612399
52	0.3099583479
53	0.3095667573
54	0.3073999371
55	0.3036739474
56	0.3031878211
57	0.3006515333
58	0.3000809532
59	0.2999495693
60	0.2977796759
61	0.2977774453
62	0.2951942398
63	0.2922374954
64	0.2898463486
65	0.2862082771
66	0.2858440531
67	0.2829352176
68	0.2783123071
69	0.2745880913
70	0.2721778984
71	0.2705908559
72	0.2677626489
73	0.2677042514
74	0.2671987006
75	0.2670627616
76	0.2638102397
77	0.2610699809
78	0.2597972827
79	0.2574839611
80	0.254197758
81	0.2541774141
82	0.2535984761
83	0.2477945784
84	0.247386513
85	0.2435390858
86	0.2401268623
87	0.2357974281
88	0.235413378
89	0.23491078
90	0.2312396687
91	0.2310969992
92	0.229952111
93	0.225720769
94	0.2205826373
95	0.2174395326
96	0.2127275655
97	0.2123506361
98	0.2118969819
99	0.210536569
100	0.2104769458
101	0.2098754044
102	0.209743753
103	0.2096118549
104	0.2092908172
105	0.2091204011
106	0.2089927632
107	0.2087556075
108	0.2062657259
109	0.206151953
110	0.2061118719
111	0.2038933753
112	0.2038610494
113	0.2016542398
114	0.2013076731
115	0.2012754618
116	0.2010808766
117	0.199237685
118	0.1990790682
119	0.1969147429
120	0.1964456265
121	0.1961497837
122	0.1960569253
123	0.1960082628
124	0.1937957267
125	0.1937456282
126	0.1903429207
127	0.1871513257
128	0.1867899953
129	0.1818488956
130	0.1788003119
131	0.1787740604
132	0.1780611477
133	0.1734360822
134	0.1731661924
135	0.1730476664
136	0.172941744
137	0.1727235749
138	0.1726915611
139	0.1726662633
140	0.1725747475
141	0.1725130716
142	0.1724733046
143	0.1721290446
144	0.171899482
145	0.1704817113
146	0.1704652673
147	0.1704050348
148	0.1702652771
149	0.1702452391
150	0.1673970872
151	0.1671014927
152	0.1658619323
153	0.1658386823
154	0.1657415011
155	0.1647954537
156	0.1645730374
157	0.1645509975
158	0.1644302083
159	0.1640378134
160	0.1638231365
161	0.1638230683
162	0.162342066
163	0.1619783585
164	0.1617486543
165	0.159654803
166	0.1594752029
167	0.1588678902
168	0.1586033335
169	0.1586033169
170	0.1584277576
171	0.1580976944
172	0.1580649097
173	0.1577171071
174	0.1574775237
175	0.1574573507
176	0.156910791
177	0.1567902301
178	0.1567663954
179	0.1567170429
180	0.156517705
181	0.156487359
182	0.1563621859
183	0.1543998169
184	0.152333835
185	0.1521328723
186	0.1494524774
187	0.1494076309
188	0.1477145394
189	0.1476223714
190	0.1472868125
191	0.1472736331
192	0.1472459826
193	0.1470674968
194	0.1468298104
195	0.1467804642
